Subject,Sex,Flanker_Unadj,ListSort_Unadj,CardSort_Unadj,TotalEF_Unadj,CogFluidComp_Unadj
100004,M,121.97,96.99,103.17,322.13,105.74
100206,M,130.42,112.89,119.14,362.45,134.34
100307,F,112.56,108.06,123.75,344.37,118.16
100408,M,121.18,108.06,111.14,340.38,116.64
100610,M,126.53,117.39,129.84,373.76,124.23
101006,F,101.85,93.9,105.19,300.94,91.44
101107,M,107.04,130.38,119.76,357.18,117.37
101208,F,94.96,108.06,93.56,296.58,98.67
101309,M,113.67,117.39,99.76,330.82,107.14
101410,M,108.46,112.89,116.89,338.24,112.21
101612,F,115.22,108.06,107.66,330.94,113.8
101915,F,98.94,117.39,102.25,318.58,101.27
102008,M,115.5,100.43,119.59,335.52,121.39
102109,M,110.38,121.89,112.47,344.74,109.52
102311,F,111.75,121.89,102.83,336.47,109.45
102513,M,86.31,112.89,102.84,302.04,91.92
102614,M,124.64,117.39,124.08,366.11,142.47
102715,M,104.59,117.39,116.16,338.14,115.9
102816,F,96.95,117.39,117.1,331.44,110.62
103010,M,85.74,126.18,108.06,319.98,105.67
103111,M,103.86,126.18,107.69,337.73,109.13
103212,M,95.94,130.38,101.41,327.73,105.1
103414,F,102.76,112.89,107.52,323.17,103.52
103515,F,106.97,96.99,103.94,307.9,99.21
103818,F,101.75,117.39,107.93,327.07,106.19
104012,F,100.62,96.99,110.61,308.22,100.72
104113,M,119.39,93.9,111.65,324.94,106.9
104416,F,115.12,108.06,119.59,342.77,130.75
104820,F,108.94,112.89,115.46,337.29,109.61
105014,F,97.68,112.89,101.87,312.44,104.13
105115,M,106.14,126.18,109.62,341.94,112.18
105216,M,137.11,121.89,138.6,397.6,144.52
105620,F,115.04,121.89,143.94,380.87,134.77
105923,F,112.7,117.39,109.81,339.9,105.39
106016,F,113.61,108.06,111.97,333.64,113.59
106218,M,98.59,104.06,106.58,309.23,96.19
106319,M,113.89,104.06,128.03,345.98,117.72
106521,F,113.07,133.93,124.39,371.39,135.39
106824,M,111.44,130.38,114.82,356.64,130.82
107018,F,101.57,108.06,103.3,312.93,105.61
107119,M,94.74,117.39,103.5,315.63,101.77
107220,F,97.55,112.89,108.78,319.22,104.55
107321,F,126.63,130.38,115.07,372.08,136.46
107422,M,126.11,137.98,114.79,378.88,132.35
107523,M,90.84,91.07,99.57,281.48,85.16
107725,F,118.66,93.9,113.99,326.55,109.56
108020,M,116.83,117.39,122.44,356.66,118.6
108121,F,117.54,117.39,121.28,356.21,124.18
108222,M,118.42,144.5,109.98,372.9,132.86
108323,F,121.42,108.06,119.66,349.14,127.61
108525,M,96.17,100.43,93.21,289.81,92.29
108828,M,105.22,100.43,102.62,308.27,98.83
109123,M,120.63,133.93,110.02,364.58,136.07
109325,M,112.65,96.99,118.5,328.14,115.43
109830,F,104.13,112.89,99.49,316.51,98.6
110007,F,113.84,108.06,111.82,333.72,113.46
110411,M,118.25,121.89,125.37,365.51,123.85
110613,M,94.58,130.38,110.78,335.74,106.13
111009,F,127.2,112.89,124.54,364.63,
111211,F,108.89,121.89,115.53,346.31,117.76
111312,F,113.67,108.06,117.23,338.96,120.33
111413,F,128.39,104.06,136.1,368.55,120.67
111514,M,119.81,108.06,117.26,345.13,
111716,F,100.7,104.06,110.53,315.29,103.92
112112,M,109.37,104.06,103.46,316.89,110.01
112314,F,115.73,108.06,112.42,336.21,109.73
112516,F,116.96,100.43,100.45,317.84,106.95
112819,F,104.61,104.06,108.1,316.77,105.95
112920,M,104.78,130.38,111.59,346.75,117.75
113215,F,142.11,130.38,121.37,393.86,135.74
113316,M,92.15,117.39,104.6,314.14,111.03
113417,F,106.44,117.39,114.61,338.44,114.15
113619,F,105.31,112.89,109.35,327.55,108.75
113821,F,103.68,121.89,99.11,324.68,110.74
113922,M,109.58,133.93,122.39,365.9,132.68
114116,F,97.58,104.06,106.33,307.97,107.14
114217,F,111.98,112.89,119.5,344.37,127.6
114318,F,110.53,112.89,117.98,341.4,122.7
114419,M,102.27,117.39,107.97,327.63,116.06
114621,M,117.4,104.06,110.9,332.36,106.8
114823,F,111.75,126.18,112.93,350.86,133.15
114924,M,111.2,91.07,122.29,324.56,104.76
115017,F,104.41,104.06,107.52,315.99,106.09
115219,M,114.61,121.89,125.28,361.78,121.84
115320,F,101.82,100.43,112.78,315.03,105.52
115724,F,123.46,93.9,128.04,345.4,122.8
115825,M,112.21,104.06,95.79,312.06,98.46
116120,F,107.8,100.43,107.21,315.44,98.6
116221,M,108.65,112.89,114.64,336.18,115.11
116322,F,101.1,126.18,99.26,326.54,94.48
116423,M,117.4,100.43,111.2,329.03,114.55
116524,M,111.24,108.06,105.89,325.19,104.39
116726,M,117.4,126.18,129.19,372.77,135.09
117021,F,103.76,126.18,119.18,349.12,118.8
117122,F,111.15,117.39,119.93,348.47,126.61
117324,F,105.22,96.99,99.85,302.06,95.02
117728,F,108.52,108.06,108.29,324.87,117.2
117930,F,94.38,108.06,101.68,304.12,101.3
118023,F,118.66,100.43,108.67,327.76,113.19
118124,F,108.46,91.07,123.11,322.64,103.87
118225,M,115.38,130.38,112.58,358.34,123.88
118528,F,114.23,104.06,133.28,351.57,117.56
118730,M,110.38,112.89,112.99,336.26,111.5
118831,M,118.28,112.89,129.85,361.02,119.16
118932,M,113.07,104.06,115.43,332.56,113.22
119025,M,95.64,144.5,113.06,353.2,114.98
119126,F,109.84,112.89,104.3,327.03,118.6
119732,F,93.13,100.43,100.13,293.69,95.64
119833,F,131.82,108.06,107,346.88,116.87
120010,F,118.28,117.39,132.52,368.19,136.44
120111,F,112.13,88.68,111.96,312.77,106.18
120212,F,108.82,121.89,114.39,345.1,119.77
120414,F,96.05,100.43,98.53,295.01,93.96
120515,F,93.8,108.06,118,319.86,105.35
120717,F,116.57,117.39,125.11,359.07,128.11
120818,M,122.27,121.89,124.76,368.92,119.57
121315,M,92.83,117.39,85.01,295.23,97.65
121416,M,94.4,112.89,104.06,311.35,97.07
121618,M,112.89,104.06,108.85,325.8,104.29
121719,F,111.75,108.06,111.55,331.36,108.2
121820,F,107.28,100.43,118.23,325.94,114.47
121921,M,115.92,108.06,112.12,336.1,100.17
122317,M,105.76,117.39,103.09,326.24,108.63
122418,F,113.42,112.89,130.17,356.48,131.34
122519,F,106.2,100.43,97.25,303.88,97.75
122620,M,114.15,108.06,110.18,332.39,106.27
122822,F,107.59,104.06,106.33,317.98,104.6
123117,M,119.81,93.9,123.59,337.3,107.13
123420,F,109.84,100.43,115.19,325.46,121.75
123521,M,118.28,104.06,85.37,307.71,109.38
123723,F,107.92,100.43,113.3,321.65,102.55
123824,M,99.32,100.43,100.91,300.66,97.47
123925,F,126.15,112.89,138.91,377.95,138.52
124220,M,117.18,121.89,114.32,353.39,112.27
124321,M,104.91,100.43,111.69,317.03,98.26
124422,F,109.58,93.9,110.66,314.14,103.63
124624,F,122.27,144.5,118.76,385.53,133.93
124826,F,121.91,104.06,115.6,341.57,111.5
125222,M,97.65,133.93,104.48,336.06,118.29
125424,F,95.21,112.89,95.05,303.15,103.14
125525,F,104.32,91.07,115.16,310.55,95.71
126325,F,125.34,112.89,125.65,363.88,123.8
126426,F,103.78,108.06,108.05,319.89,123.17
126628,M,96.54,88.68,105.14,290.36,94.06
126931,F,106.78,104.06,118.69,329.53,113.45
127226,M,102.73,100.43,105.68,308.84,99.26
127327,M,115.12,108.06,120.38,343.56,123.96
127630,F,124.4,137.98,117.39,379.77,144.59
127731,F,114.06,93.9,108.95,316.91,106.06
127832,F,104.59,100.43,118.32,323.34,108.43
127933,M,108.52,117.39,119.06,344.97,120.66
128026,F,105.76,117.39,110.69,333.84,109.23
128127,F,117.4,108.06,114.71,340.17,122.73
128329,F,116.57,108.06,107.62,332.25,110.23
128632,F,107.28,112.89,107.36,327.53,105.9
128935,M,115.38,112.89,123.05,351.32,116.09
129028,M,102.41,117.39,103.92,323.72,112.2
129129,F,114.06,96.99,114.69,325.74,112.58
129331,F,119.39,121.89,127.86,369.14,131.25
129432,M,113.32,130.38,116.26,359.96,126.87
129533,F,106.41,117.39,115.79,339.59,122.47
129634,M,99.94,108.06,99.11,307.11,104.22
129937,F,92.01,96.99,101.1,290.1,100.02
130013,M,111.15,112.89,108.83,332.87,109.91
130114,M,125.19,108.06,131.62,364.87,129.97
130316,F,118.81,108.06,114.89,341.76,117.67
130417,M,122.53,108.06,114.75,345.34,106.08
130518,F,111.75,96.99,114.64,323.38,111.09
130619,F,112.21,126.18,119.16,357.55,138.64
130720,M,101.16,112.89,109.62,323.67,113.31
130821,F,123.33,100.43,122.38,346.14,115.34
130922,F,109.84,126.18,130.39,366.41,130.39
131217,F,119.25,93.9,119.87,333.02,121.83
131419,F,107.41,121.89,114.31,343.61,113.81
131621,F,103.76,130.38,108.58,342.72,121.39
131722,F,104.68,126.18,118.13,348.99,117.16
131823,M,113.97,112.89,118.01,344.87,121.96
131924,M,111.24,137.98,118.59,367.81,130.01
132017,F,116.01,108.06,115.53,339.6,123.44
132118,F,106.14,100.43,104.18,310.75,100.07
132320,F,110.08,96.99,126.65,333.72,112.95
133019,F,115.04,100.43,104.42,319.89,105.6
133221,M,106.72,108.06,114.11,328.89,111.37
133625,M,99.69,130.38,112.99,343.06,119.22
133726,F,99.19,117.39,105.74,322.32,107.35
133827,M,105.51,84.63,112.92,303.06,99.58
133928,M,108.93,108.06,110.9,327.89,113.48
134021,F,110.84,93.9,105.29,310.03,101.88
134223,F,103.76,133.93,112.99,350.68,125.24
134324,M,105.69,93.9,110.25,309.84,94.6
134425,F,107.48,100.43,115,322.91,111.92
134627,M,125.54,104.06,143.94,373.54,138.23
134728,M,110.78,104.06,117.29,332.13,111.24
134829,F,107.59,104.06,103.68,315.33,105.72
135124,F,96.18,108.06,118.91,323.15,110.23
135225,F,120.56,108.06,125.17,353.79,129.91
135427,M,111.54,93.9,107.23,312.67,92.53
135528,F,129.71,126.18,122.5,378.39,127.07
135629,M,104.89,112.89,118.62,336.4,112.75
135730,M,122.27,100.43,119.59,342.29,121.36
135932,F,115.87,100.43,143.94,360.24,126.59
136126,M,114.06,117.39,116.08,347.53,118.25
136227,M,109.29,96.99,108.57,314.85,101.09
136328,M,107.98,108.06,100.37,316.41,113.9
136530,M,104.95,112.89,112.9,330.74,113.8
136631,M,89.22,112.89,116.08,318.19,106.34
136732,F,106.09,100.43,125.81,332.33,115.22
136833,M,110.68,112.89,106.98,330.55,109.55
137027,M,108.08,117.39,123.4,348.87,117.62
137128,F,102.77,130.38,114.68,347.83,122.43
137229,M,114.61,112.89,118.74,346.24,112.82
137431,F,104.32,108.06,110.61,322.99,115.3
137532,M,112.31,108.06,98.18,318.55,99.1
137633,F,104.82,112.89,107.52,325.23,110.98
137936,M,106.48,104.06,94.99,305.53,92.39
138130,F,107.53,100.43,110.65,318.61,110.69
138231,F,108.98,100.43,110.53,319.94,108.21
138332,M,108.82,112.89,130.78,352.49,118.23
138534,M,118.66,130.38,111.03,360.07,117.27
138837,M,97.68,104.06,99.42,301.16,95.95
139233,F,115.92,108.06,122.78,346.76,119.03
139435,F,95.12,104.06,102.95,302.13,104.64
139637,F,108.46,104.06,126.05,338.57,122.82
139839,M,126.74,108.06,115.77,350.57,132.85
140117,F,101.82,108.06,101.18,311.06,98.66
140319,F,115.57,112.89,,228.46,
140420,F,105.5,108.06,106.98,320.54,104.69
140723,M,106.72,117.39,101.87,325.98,106.24
140824,M,102.48,117.39,120.35,340.22,113.69
140925,F,105.51,93.9,94.79,294.2,94.22
141119,M,115.35,130.38,120.82,366.55,130.54
141422,F,111.89,133.93,123.13,368.95,122.22
141624,F,106.46,93.9,89.97,290.33,98.87
141826,F,107.18,88.68,105.84,301.7,100.16
142424,M,84.9,93.9,88.15,266.95,84.48
142828,M,115.04,117.39,121.95,354.38,125.66
143224,F,114.61,96.99,112.65,324.25,130.49
143325,F,95.53,112.89,104.84,313.26,104.04
143426,F,94.63,126.18,108.42,329.23,105.54
143527,M,107.34,108.06,98.45,313.85,101.15
143830,F,99.19,108.06,112.84,320.09,110.79
144125,F,95.23,93.9,92.74,281.87,92.24
144226,F,116.96,88.68,108.63,314.27,100.99
144428,M,105.2,130.38,114.11,349.69,116.45
144731,F,109.9,126.18,116.47,352.55,123.07
144832,F,107.34,104.06,121.8,333.2,113.88
144933,M,99.77,104.06,103.17,307,106.27
145127,M,119.02,100.43,118.18,337.63,104.77
145531,M,100.27,96.99,100.71,297.97,97.16
145632,M,121.97,126.18,127.37,375.52,123.1
145834,F,111.15,126.18,104.92,342.25,113.61
146129,M,121.83,117.39,134.24,373.46,141.29
146331,F,96.54,93.9,111.43,301.87,101.6
146432,M,115.08,100.43,113.22,328.73,108.46
146533,M,94.48,117.39,111.28,323.15,107.07
146634,F,101.27,108.06,101.41,310.74,
146735,F,101.27,100.43,116.47,318.17,103.25
146836,M,113.5,100.43,121.88,335.81,107.16
146937,F,100.27,108.06,113.81,322.14,115.69
147030,M,119.02,104.06,119.27,342.35,109.18
147636,F,105.15,108.06,114.52,327.73,110.48
147737,F,109.98,112.89,115.42,338.29,116.06
148032,F,131.56,126.18,108.89,366.63,120.6
148133,F,112.21,112.89,128.57,353.67,120.43
148234,F,132.66,117.39,113.3,363.35,126.27
148335,F,102.6,96.99,118,317.59,104.47
148436,M,98.59,108.06,102.55,309.2,97.69
148840,F,126.74,108.06,136.1,370.9,123.11
148941,M,116.43,96.99,111.36,324.78,106.42
149236,F,128.76,117.39,136.1,382.25,145.08
149337,M,111.68,112.89,123.59,348.16,115.23
149539,M,137.11,117.39,116.55,371.05,136.77
149741,M,112.75,100.43,120.61,333.79,109.14
149842,F,116.57,108.06,138.87,363.5,117.63
150019,M,112.31,100.43,108.97,321.71,105.46
150423,F,117.09,108.06,113.54,338.69,118
150524,F,111.04,100.43,118.01,329.48,108.35
150625,M,104.54,108.06,122.09,334.69,106.26
150726,M,120.9,117.39,129.82,368.11,130.43
150928,M,113.32,117.39,118.41,349.12,117.13
151021,M,107.92,100.43,123.23,331.58,114.13
151223,F,106.83,86.4,117.97,311.2,103.39
151324,M,125.71,117.39,132.88,375.98,130.08
151425,F,106.29,108.06,128.57,342.92,126.59
151526,M,112.45,117.39,108.98,338.82,114.43
151627,F,121.64,121.89,119.76,363.29,121.16
151728,M,122.53,126.18,108.39,357.1,115.77
151829,F,115.12,117.39,125.31,357.82,126.73
151930,M,114.8,117.39,124.56,356.75,126.28
152225,M,116.43,144.5,122.94,383.87,136.13
152427,F,108.18,130.38,114.32,352.88,131.91
152831,M,106.89,104.06,115.84,326.79,101.49
152932,F,121.55,108.06,111.52,341.13,113.53
153025,F,114.53,133.93,115.29,363.75,119.21
153126,F,113.2,104.06,112.55,329.81,113.62
153227,F,105.63,100.43,108.33,314.39,104.9
153429,M,125.34,121.89,117.54,364.77,125.01
153631,F,109.9,104.06,116.8,330.76,102.8
153732,F,100.84,96.99,99.42,297.25,105.55
153833,F,112.7,126.18,116.67,355.55,118.59
153934,M,121.39,126.18,143.94,391.51,140.92
154229,F,114.61,112.89,103.77,331.27,111.36
154330,M,120.36,126.18,123.26,369.8,126.62
154431,F,125.19,100.43,118.84,344.46,118.87
154532,M,93.57,104.06,100.6,298.23,106.07
154734,M,129.71,108.06,123.61,361.38,115.49
154835,F,98.47,117.39,118.01,333.87,111.57
154936,M,106.14,104.06,123.02,333.22,104.9
155231,F,110.17,100.43,111.65,322.25,112.27
155635,F,118.19,121.89,118.5,358.58,126.95
155938,M,142.11,108.06,116.08,366.25,113.69
156031,F,105.15,108.06,110.99,324.2,125.16
156233,F,142.11,93.9,136.1,372.11,135.81
156334,F,121.42,100.43,119.76,341.61,124.91
156435,M,130.68,117.39,128.95,377.02,138.95
156536,M,124.78,121.89,129.77,376.44,140.22
156637,M,91.1,117.39,96.14,304.63,92.93
157235,M,116.57,121.89,120.35,358.81,126.35
157336,F,120.9,84.63,113.99,319.52,110.22
157437,F,110.98,100.43,129.82,341.23,115.36
157942,F,106.78,117.39,112.04,336.21,113.12
158035,F,126.63,84.63,130,341.26,114.15
158136,M,103.95,93.9,107.74,305.59,101.93
158338,M,108.4,104.06,134.08,346.54,117.38
158540,M,114.97,112.89,115.16,343.02,113.21
158843,M,114.53,126.18,114.06,354.77,112.8
159138,M,109.58,108.06,114.78,332.42,108.2
159239,F,119.7,121.89,109.54,351.13,119.08
159340,M,106.78,104.06,101.54,312.38,100.69
159441,F,95.8,121.89,107.79,325.48,98.71
159744,M,127.39,126.18,120.68,374.25,133.41
159845,F,105.96,108.06,110.45,324.47,103.17
159946,M,131.35,108.06,125,364.41,135.05
160123,M,116.34,121.89,113.02,351.25,119.21
160729,F,107.18,117.39,118.99,343.56,123.43
160830,F,102.76,108.06,115.38,326.2,104.77
160931,F,121.91,108.06,119.49,349.46,118.63
161327,F,112.31,117.39,121.94,351.64,119.29
161630,F,127.53,117.39,136.1,381.02,124.46
161731,F,107.82,93.9,113.93,315.65,109.33
161832,M,100.97,112.89,108.35,322.21,101.75
162026,F,111.98,93.9,119.39,325.27,112.26
162228,M,110.74,121.89,108.21,340.84,111.53
162329,F,108.18,108.06,83.93,300.17,101.16
162733,F,100.47,126.18,97.57,324.22,106.18
162834,F,107.92,108.06,111.93,327.91,111.17
162935,M,123.33,104.06,123.42,350.81,109.27
163129,M,125.46,112.89,117.07,355.42,117.72
163331,M,107.71,130.38,101.66,339.75,110.1
163432,F,119.39,112.89,115.43,347.71,115.04
163836,F,100.45,93.9,94.25,288.6,90.13
164030,M,109.62,112.89,123.58,346.09,120.87
164131,M,120.07,126.18,113.81,360.06,126.94
164636,M,124.78,137.98,114.13,376.89,119.38
164939,F,114.29,100.43,118.32,333.04,110.14
165032,M,122.6,96.99,131.62,351.21,127.32
165234,F,122.27,100.43,122.83,345.53,
165436,M,95.9,112.89,103.89,312.68,110.88
165638,M,107.92,126.18,108.08,342.18,123.09
165840,M,99.09,108.06,96.91,304.06,95.04
165941,F,109.9,112.89,143.94,366.73,135.49
166438,M,107.48,117.39,112.9,337.77,112.93
166640,M,95.34,112.89,102.88,311.11,86.68
167036,F,101.99,100.43,116.55,318.97,114.18
167238,F,116.72,108.06,119.76,344.54,113.95
167440,F,112.13,93.9,112.04,318.07,106.75
167743,F,110.78,108.06,113.41,332.25,106.21
168038,M,104.89,100.43,136.1,341.42,110.36
168139,M,104.56,121.89,101.7,328.15,106.22
168240,M,115.73,104.06,124.66,344.45,112.36
168341,M,103.95,112.89,104.41,321.25,102.15
168745,F,99.86,121.89,105.99,327.74,112.12
168947,F,97.34,117.39,108.18,322.91,113.8
169040,M,116.12,108.06,112.64,336.82,111.13
169141,M,131.28,108.06,114.89,354.23,121.83
169343,F,98.53,88.68,103.46,290.67,94.81
169444,F,104.72,104.06,108.25,317.03,99.93
169545,M,116.34,126.18,143.94,386.46,142.88
169747,F,115.12,108.06,108.39,331.57,107.39
169949,M,115.87,112.89,122.44,351.2,129.45
170631,F,105.76,100.43,103.82,310.01,107.94
170934,F,116.83,100.43,124.56,341.82,112.08
171128,F,99.11,93.9,102.37,295.38,99.79
171330,M,113.5,108.06,111.22,332.78,109.47
171431,F,104.2,117.39,113.76,335.35,108.43
171532,F,105.88,108.06,109.56,323.5,108
171633,M,112.31,96.99,112.37,321.67,111.51
171734,F,97.94,112.89,104.34,315.17,103.95
172029,M,109.62,100.43,116.59,326.64,103.78
172130,M,113.32,112.89,118.52,344.73,113.18
172332,F,104.59,93.9,104.38,302.87,97.61
172433,M,107.76,117.39,111.94,337.09,120.01
172534,F,106.72,117.39,109.81,333.92,120.83
172635,M,98.2,108.06,97.75,304.01,108.54
172938,F,104.32,96.99,108.38,309.69,101.81
173132,M,120.36,100.43,122.05,342.84,114.04
173233,M,106.29,108.06,120.16,334.51,105.74
173334,M,125.54,133.93,115.03,374.5,117.35
173435,F,106.78,121.89,115.91,344.58,114.98
173536,F,114.33,108.06,122.99,345.38,135.6
173637,F,114.29,108.06,143.94,366.29,132.42
173738,M,118.28,100.43,121.24,339.95,121.15
173839,F,94.89,112.89,113.6,321.38,108.47
173940,F,96.43,121.89,107.84,326.16,113.6
174437,F,108.59,96.99,102.11,307.69,102.58
