Subject,CogTotalComp_Unadj,CogTotalComp_AgeAdj,CogFluidComp_Unadj,CogFluidComp_AgeAdj,CogCrystalComp_Unadj,CogCrystalComp_AgeAdj
100004,107.85,91.75,105.74,87.73,110.74,100.46
100206,137.66,133.76,134.34,130.07,117.33,113.89
100307,116.73,106.85,118.16,107.88,109.38,97.42
100408,137.53,133.96,116.64,113.77,134.34,134.57
100610,153.36,153.36,124.23,115.63,144.96,149.19
101006,94.39,72.15,91.44,72.02,104.51,82.93
101107,126.37,120.13,117.37,106.57,120.73,118.74
101208,98.74,78.53,98.67,83.46,105.26,83.75
101309,112.6,100.32,107.14,90.01,115.59,110.72
101410,114.91,105.44,112.21,106.16,113.32,100.14
101612,108.43,94.21,113.8,109.05,103.5,80.94
101915,113.58,103.22,101.27,87.99,122.72,117.73
102008,135.31,131.66,121.39,112.08,127.84,129.31
102109,118.46,109.51,109.52,93.65,119.86,117.69
102311,113.37,101.53,109.45,93.44,114.22,107.45
102513,107.41,92.5,91.92,72.82,124.14,120.41
102614,137.81,134.26,142.47,139.94,109.88,98.7
102715,127.39,122.45,115.9,104.28,124.12,124.02
102816,103.85,86.38,110.62,102.9,100.2,75.59
103010,107.7,91.51,105.67,87.61,110.66,100.28
103111,120.2,113.45,109.13,100.56,122.41,117.11
103212,120.74,114.23,105.1,94.11,127.06,124.11
103414,105.82,88.44,103.52,84.22,110.27,99.49
103515,93.91,69.84,99.21,77.63,95.79,71.99
103818,121.59,115.58,106.19,95.9,127.07,124.18
104012,100.07,79.29,100.72,79.7,105.19,87.94
104113,104.26,85.99,106.9,89.44,104.56,87.18
104416,144.26,143.78,130.75,131.74,127.85,125.37
104820,104.17,86.97,109.61,101.58,101.67,77.78
105014,117.16,107.29,104.13,85.35,123.81,123.5
105115,122.54,116.5,112.18,105.98,121.84,116.28
105216,153.36,153.36,144.52,141.25,127.32,127.97
105620,144.37,143.87,134.77,136.5,123.98,120.16
105923,118.07,110.18,105.39,94.52,123.51,119.01
106016,119.38,112.08,113.59,108.46,117,107.77
106218,97.23,75.75,96.19,79.38,104.73,83.15
106319,134.67,131.22,117.72,107.24,131.06,132.49
106521,153.36,153.36,135.39,131.41,133.52,134.58
106824,139.38,135.54,130.82,124.28,122.72,121.7
