sub_id,scanner,site,mean_fd,numtrs
sub-NDARINV00U4FTRU,GE,site04,0.15069722,1520
sub-NDARINV01ELX9L6,GE,site04,0.03701347,1520
sub-NDARINV08FUB58A,GE,site04,0.20069942,1520
sub-NDARINV08K8VF33,GE,site04,0.07660478,1520
sub-NDARINV0DVK13LU,GE,site04,0.15656697,1520
sub-NDARINV0F3UJ9CT,GE,site04,0.07285256,1520
sub-NDARINV0F959U85,GE,site04,0.09101447,1520
sub-NDARINV0GUTM6AM,GE,site04,0.12641675,1520
sub-NDARINV0HXXANFJ,GE,site04,0.09397853,1520
sub-NDARINV0NR55WME,GE,site04,0.09743872,1520
sub-NDARINV0UL9YFZJ,GE,site04,0.11746827,1520
sub-NDARINV0X59EG8X,GE,site04,0.11327342,1520
sub-NDARINV0Y9GR364,GE,site04,0.20877879,1534
sub-NDARINV139PZ31D,GE,site04,0.05015493,1520
sub-NDARINV13GH02YK,GE,site04,0.04190506,1520
sub-NDARINV1AYVNP3L,GE,site04,0.22030359,1520
sub-NDARINV1CGKKTM5,GE,site04,0.24008835,1520
sub-NDARINV1CYTVBWT,GE,site04,0.09845862,1520
sub-NDARINV1D42VFML,GE,site04,0.18572025,1520
sub-NDARINV1D6G642B,GE,site04,0.2576859,1520
sub-NDARINV1DZWFKCG,GE,site04,0.14764114,1520
sub-NDARINV1EZ26N40,GE,site04,0.08350027,1520
sub-NDARINV1JERB432,GE,site04,0.10554477,1533
sub-NDARINV1JWGJFFK,GE,site04,0.15552343,1520
sub-NDARINV1L5VJRZG,GE,site04,0.11155624,1520
sub-NDARINV1TRH3MMU,GE,site04,0.08366959,1520
sub-NDARINV1YWMB9TV,GE,site04,0.07585758,1520
sub-NDARINV1ZD6AF6H,GE,site04,0.07574522,1566
sub-NDARINV229XUWRH,GE,site04,0.26682599,1520
sub-NDARINV23PJ8ECJ,GE,site04,0.21914719,1520
sub-NDARINV2484CB0H,GE,site04,0.04754239,1520
sub-NDARINV25PJA9DK,GE,site04,0.06028474,1520
sub-NDARINV27BUCF9E,GE,site04,0.11395556,1520
sub-NDARINV29TAPT8B,GE,site04,0.17813678,1520
sub-NDARINV2G3T7XUL,GE,site04,0.20241285,1520
sub-NDARINV2H0FM634,GE,site04,0.2332551,1520
sub-NDARINV2U59DP6L,GE,site04,0.14167041,1520
sub-NDARINV34BZY5KP,GE,site04,0.0977376,1520
sub-NDARINV34H78073,GE,site04,0.1352708,1520
sub-NDARINV36K7YFLB,GE,site04,0.05316984,1520
sub-NDARINV37E785RU,GE,site04,0.13137452,1520
sub-NDARINV3AD71HE2,GE,site04,0.1346058,1520
sub-NDARINV3CVRZ501,GE,site04,0.12302763,1535
sub-NDARINV3DDJKN73,GE,site04,0.2378988,1520
sub-NDARINV3H19ZCF8,GE,site04,0.1083757,1520
sub-NDARINV3H5U1V47,GE,site04,0.25089897,1520
sub-NDARINV3LA2YW3R,GE,site04,0.16829755,1520
sub-NDARINV3UNMBY32,GE,site04,0.07762418,1520
sub-NDARINV3WA4PYL5,GE,site04,0.04155999,1520
sub-NDARINV3WHJ0U6T,GE,site04,0.19503458,1520
sub-NDARINV3X48ZM73,GE,site04,0.29280041,1520
sub-NDARINV3Y5UF4TX,GE,site04,0.29644705,1520
sub-NDARINV3ZPDZ9KU,GE,site04,0.06026189,1520
sub-NDARINV45HV5L52,GE,site04,0.27570106,1520
sub-NDARINV4BA28Y80,GE,site04,0.20695266,1564
sub-NDARINV4BRVTNUE,GE,site04,0.1282783,1520
sub-NDARINV4CB96L7N,GE,site04,0.08307408,1520
sub-NDARINV4EY631JB,GE,site04,0.08426459,1520
sub-NDARINV4GG3D33R,GE,site04,0.08523363,1520
sub-NDARINV4H880493,GE,site04,0.2232551,1520
sub-NDARINV4RE6L62Z,GE,site04,0.07146589,1520
sub-NDARINV4TG8X5LW,GE,site04,0.14840016,1520
sub-NDARINV4TX1YAGG,GE,site04,0.22367434,1520
sub-NDARINV4YH8H7KU,GE,site04,0.29594507,1520
sub-NDARINV52K3HFFN,GE,site04,0.25202086,1520
sub-NDARINV54U1B199,GE,site04,0.08434401,1520
sub-NDARINV58P73L9E,GE,site04,0.08471292,1520
sub-NDARINV58V0LMM9,GE,site04,0.09261519,1948
sub-NDARINV5A1EKVU6,GE,site04,0.14534339,1520
